# ADABOOST RESULTS, TRAIN/TEST FRACTION: 0.8
# Net   Norm   Set   OL?   Accu. Train   Accu Test
tec     xmin    1     T       0.922        0.92
inf     xmin    1     T       0.984        0.983
soc     xmin    1     T       0.961        0.957
bio     xmin    1     T       0.962        0.958
tec     xmin    1     F       0.918        0.917
inf     xmin    1     F       0.984        0.981
soc     xmin    1     F       0.962        0.963
bio     xmin    1     F       0.956        0.968
tec     xmin    2     T       0.951        0.94
inf     xmin    2     T       0.991        0.987
soc     xmin    2     T       0.989        0.98
bio     xmin    2     T       0.994        0.992
tec     xmin    2     F       0.924        0.922
inf     xmin    2     F       0.989        0.987
soc     xmin    2     F       0.963        0.963
bio     xmin    2     F       0.992        0.99
tec     xmin    3     T       0.993        0.994
inf     xmin    3     T       0.995        0.993
soc     xmin    3     T       0.998        0.998
bio     xmin    3     T       0.999        0.999
tec     xmin    3     F       0.947        0.942
inf     xmin    3     F       0.99        0.99
soc     xmin    3     F       0.966        0.963
bio     xmin    3     F       0.998        0.998
tec     xmin    4     T       0.999        0.999
inf     xmin    4     T       0.997        0.996
soc     xmin    4     T       1.0        1.0
bio     xmin    4     T       1.0        1.0
tec     xmin    4     F       0.967        0.97
inf     xmin    4     F       0.995        0.996
soc     xmin    4     F       0.967        0.968
bio     xmin    4     F       0.998        0.998
tec     xmin    5     T       1.0        1.0
inf     xmin    5     T       0.01        0.01
soc     xmin    5     T       1.0        1.0
bio     xmin    5     T       0.01        0.01
tec     xmin    5     F       0.984        0.983
inf     xmin    5     F       0.99        0.99
soc     xmin    5     F       0.984        0.984
bio     xmin    5     F       0.999        0.999
tec     gauss    1     T       0.922        0.92
inf     gauss    1     T       0.984        0.983
soc     gauss    1     T       0.961        0.957
bio     gauss    1     T       0.962        0.958
tec     gauss    1     F       0.918        0.917
inf     gauss    1     F       0.984        0.981
soc     gauss    1     F       0.962        0.963
bio     gauss    1     F       0.956        0.968
tec     gauss    2     T       0.951        0.94
inf     gauss    2     T       0.991        0.987
soc     gauss    2     T       0.989        0.98
bio     gauss    2     T       0.994        0.992
tec     gauss    2     F       0.919        0.915
inf     gauss    2     F       0.989        0.987
soc     gauss    2     F       0.963        0.963
bio     gauss    2     F       0.992        0.99
tec     gauss    3     T       0.993        0.994
inf     gauss    3     T       0.995        0.993
soc     gauss    3     T       0.998        0.998
bio     gauss    3     T       0.999        0.999
tec     gauss    3     F       0.944        0.939
inf     gauss    3     F       0.989        0.989
soc     gauss    3     F       0.962        0.96
bio     gauss    3     F       0.998        0.998
tec     gauss    4     T       0.999        0.999
inf     gauss    4     T       0.997        0.996
soc     gauss    4     T       1.0        1.0
bio     gauss    4     T       1.0        1.0
tec     gauss    4     F       0.965        0.968
inf     gauss    4     F       0.995        0.996
soc     gauss    4     F       0.965        0.966
bio     gauss    4     F       0.998        0.998
tec     gauss    5     T       1.0        1.0
inf     gauss    5     T       0.01        0.01
soc     gauss    5     T       1.0        1.0
bio     gauss    5     T       0.01        0.01
tec     gauss    5     F       0.984        0.984
inf     gauss    5     F       0.99        0.989
soc     gauss    5     F       0.983        0.982
bio     gauss    5     F       0.999        0.999
tec     none    1     T       0.922        0.92
inf     none    1     T       0.984        0.983
soc     none    1     T       0.961        0.957
bio     none    1     T       0.962        0.958
tec     none    1     F       0.918        0.917
inf     none    1     F       0.984        0.981
soc     none    1     F       0.962        0.963
bio     none    1     F       0.956        0.968
tec     none    2     T       0.951        0.94
inf     none    2     T       0.991        0.987
soc     none    2     T       0.989        0.98
bio     none    2     T       0.994        0.992
tec     none    2     F       0.924        0.922
inf     none    2     F       0.989        0.987
soc     none    2     F       0.963        0.963
bio     none    2     F       0.992        0.99
tec     none    3     T       0.993        0.994
inf     none    3     T       0.995        0.993
soc     none    3     T       0.998        0.998
bio     none    3     T       0.999        0.999
tec     none    3     F       0.947        0.942
inf     none    3     F       0.99        0.99
soc     none    3     F       0.966        0.963
bio     none    3     F       0.998        0.998
tec     none    4     T       0.999        0.999
inf     none    4     T       0.997        0.996
soc     none    4     T       1.0        1.0
bio     none    4     T       1.0        1.0
tec     none    4     F       0.967        0.97
inf     none    4     F       0.995        0.996
soc     none    4     F       0.967        0.968
bio     none    4     F       0.998        0.998
tec     none    5     T       1.0        1.0
inf     none    5     T       0.01        0.01
soc     none    5     T       1.0        1.0
bio     none    5     T       0.01        0.01
tec     none    5     F       0.984        0.983
inf     none    5     F       0.99        0.99
soc     none    5     F       0.984        0.984
bio     none    5     F       0.999        0.999
